publisher_id,bgg_id,name_en,game_count,description,country_code
pub_11,11,F.X. Schmid,16,Microbadge     <!-- http://files.boardgamege…,DE
pub_1017,1017,ABRA,16,This page does not exist. You can edit this page to create it.,
pub_496,496,danspil,16,Website:   http://www.danspil.dk/,DK
pub_296,296,Spiele aus Timbuktu,16,This page does not exist. You can edit this page to create it.,DE
pub_38131,38131,Deep Water Games,15,"Deep Water Games  was founded by Jacob Way, N3 Art founder Nolan Nasser, and Source Point Press Editor-in-Chief Travis McIntire.   Our goal is to add more players to the board game hobby with immersiv",US
pub_17388,17388,Creative Crafthouse,15,"At Creative Crafthouse, we pride ourselves on offering high-quality, handcrafted wood mind-bender and brainteaser puzzles and games. We know that logic, reasoning, and analytical skills are all vital ",US
pub_18856,18856,"AURUM, Inc.",15,"Company Aurum was established for the Bright Children&rsquo;s World that Children-Family-Educational Institutions hopes to realize.   First, Company Aurum thinks of &ldquo;Children.&rdquo;  A child mu",KR
pub_9695,9695,Clever Mojo Games,15,"Clever Mojo Games was a small game studio based out of Edmonds, Washington. Its founder was  W. David MacKenzie . CMG worked with independent game designers to publish fresh, fun, family games. CMG me",US
pub_200,200,Fundex,15,"According to Wikipedia, Fundex filed for bankruptcy in 2012.",US
pub_2164,2164,"North Star Games, LLC",14,"North Star Games, LLC  was originally founded in 2003 by pro Magic player  Dominic Crapuchettes  to bring innovation to a stagnant party game market. The…",US
pub_42061,42061,Tesla Games,14,"Tesla Games is a new publishing reality, spawn from the meeting of players and professionals of gaming. Evermore often, good &quot;quality&quot; games risk of being overshadowed by the constant stream",IT
pub_694,694,Oxygame,14,This page does not exist. You can edit this page to create it.,PL
pub_2401,2401,CHH Games,14,This page does not exist. You can edit this page to create it.,
pub_46724,46724,HANALL M&C,14,"Publisher Blurb: HANALL M&amp;C was established in March 1981 and is devoted to the cultural contents business that encompasses the entire domestic cultural field. We are active in various fields, fro",KR
pub_5597,5597,Laser plus,14,Admin Comment   this company is defunct   the operations of the company have been replaced by   Igroljub,SI
pub_26236,26236,Ultra PRO,14,"Ultra PRO International LLC (&quot;Ultra PRO&quot;) is the leading manufacturer and supplier of sports and gaming collectibles accessories, photo and scrapbooking albums and pages and Ultra Sleeves&tr",US
pub_1935,1935,Carlit,14,This page does not exist. You can edit this page to create it.,CH
pub_57596,57596,Automa Factory,13,Automa Factory   is small board game consulting company founded by  Morten Monrad Pedersen  to assist  Stonemaier Games  on adding solo playability to their…,DK
pub_48941,48941,Boardgame Mall,13,"&quot;Boardgame Mall&quot; is the boardgame-specialized brand of PS company Inc.  In 2011, we stepped into boardgame industry as an e-commerce retailer in the first place.   Ever since then, our busin",KR
pub_31372,31372,Igroljub,13,Slovenian trademark for board games known for re-released Catan and his expansion in Slovenian language.   Started in 2012 from the bankrupt company   Laser plus  .,SI
pub_50230,50230,Belleville (Бельвіль),13,"Компанія &quot;Бельвіль&quot; є офіційним дистриб'ютором ТМ TACTIC, GRANNA, SMART GAMES, IQ, Neat Oh !, Mindtwister, SmartLife, Totum в Україні. Компанія також реалізує продукцію ТМ LEGO. Колекція кон",UA
pub_2691,2691,Cocktail Games,13,"Microbadge     <img alt='Microbadge: Cocktail Games fan (publisher)' onmouseover=""return overlib('Cocktail Games fan (publisher)', WRAP );"" onmouseout=""return nd();"" title=''class='mbimg'loading=""lazy",FR
pub_1195,1195,House of Marbles,13,This page does not exist. You can edit this page to create it.,UK
pub_22652,22652,Marabunta,13,Description from the publisher:    Marabunta is the brand new Asmodee creative studio. We aim to create strongly themed games with innovative systems.   Directed and manned by experienced gamers &ndas,FR
pub_7772,7772,Mercurio,13,This page does not exist. You can edit this page to create it.,ES
pub_6290,6290,MB Spiele,13,This page does not exist. You can edit this page to create it.,DE
pub_964,964,Tactic,13,"Tactic Games Oy, which publishes games under the brand  Tactic , has been a leading creator and producer of best-selling board games for several decades. Today, in addition to the board games business",FI
pub_27425,27425,Cephalofair Games,12,"Cephalofair Games is a small board game design and publishing company founded by Isaac Childres in Lafayette, IN. They specialize in thematic Euro-style game play.",US
pub_52408,52408,Games4you,12,"The Games4you store offers board games and educational games for children and adults. Here you can find various board games for all ages.   <a rel=""nofollow"" href=""https://games4you.rs/drustvene-eduka",RS
pub_40415,40415,Divercentro,12,"Founded in 1992 with the principle of entertaining people. We concentrate on distributing and translating board games, card games and role playing games.",PT
pub_5722,5722,John Jaques of London,12,"Established in 1795, Jacques is the oldest game company in the world. Passed down from father to son for six generations, Jaques has been responsible for inventing many well known games such as Croque",UK
pub_48072,48072,Bumble3ee Interactive,12,"BUMBLE3EE INTERACTIVE is an independent Distributor and Publisher, committed to providing players unique gaming experiences and a renewed vision of the world of board games and interactive entertainme",ES
pub_19047,19047,FoxMind Israel,12,"FoxMind company was established 12 years ago for all of you, game lovers, and especially the ones that get hooked to a good game or cannot live a riddle unsolved.   FoxMind publishes games by various ",IL
pub_5787,5787,Morapiaf,12,This page does not exist. You can edit this page to create it.,ES
pub_99,99,Otto Maier Verlag,12,"The Otto Maier Verlag Ravensburg today is known as Ravensburger. But the RAVENSBURGER SPIELE-VERLAG GMBH was founded in the year 1992, so all games before 12/1992 are from the &quot;Otto Maier Verlag&",DE
pub_39848,39848,Zygomatic,12,Zygomatic  is a publishing imprint of Asmodee.,FR
pub_507,507,Chad Valley Co Ltd.,12,"The Chad Valley Co Ltd. sometimes published products with either  The &quot;Chad Valley&quot; Games  or  Chad Valley series of games  on the cover.      Admin Note:       Circa 1820,   John…",UK
pub_103,103,Gibsons,12,"(cross reference with  H. P. Gibson & Sons  and  Gibson Game Company )    Gibsons Games    Gibsons is the independent, family-owned jigsaw puzzle and board…",UK
pub_6174,6174,Ulisses Spiele,12,"User Summary:   Ulisses Spiele was founded in 1991 by Ulrich (Uli) Roos. It is a publisher and distributor of board games, tabletop games, and rpgs.  Not to be confused with  Edition Ulisses .",DE
pub_6011,6011,Oya,12,This page does not exist. You can edit this page to create it.,FR
pub_47771,47771,Lemery Games,12,"Lemery Games is an aspiring family-owned tabletop games publisher with a commitment to create games that are genuine, versatile and fun. Themes, mechanics or graphics are inspired by the travel experi",CA
pub_25973,25973,Zacatrus,11,"Qu&eacute; significa Zacatrus!   Zacatrus! es muchos juegos. Todos los que podamos. Y si no tenemos uno, lo buscamos. Aunque haga falta surcar los Siete Mares, pelear con piratas tuertos y soportar a ",ES
pub_50993,50993,Hachette Boardgames UK,11,"A UK distributor, importing games from European publishers to your favourite shops and cafes!   We work closely with these publishers to adapt our games for the UK, whether it's a strategy or party st",UK
pub_34669,34669,Fowers Games,11,User Summary    Fowers Games is a small game studio created by  Tim Fowers  to digitize Fowers' board game designs and create supporting apps for those games. This an evolution from Fowers' previous c,US
pub_52393,52393,Ghost Galaxy,11,"Ghost Galaxy is a new tabletop game publisher dedicated to combining the camaraderie and immediacy of traditional tabletop games with the power of smartphones, tablets, and other digital devices.   We",US
pub_5640,5640,Kikigagne?,11,Microbadge     <!-- http://files.boardgamegeek.com/image…,CA
pub_36961,36961,Burnt Island Games,10,"At Burnt Island Games we believe that your experience playing a game is multi-dimensional. Our strategy games are innovative, thought provoking, and beautiful. They are engaging in play and in aesthet",CA
pub_65,65,Winsome Games,10,"Winsome Games is a small, specialist publisher of board games about railroads and trains. We design, develop and sometimes license these train games to larger firms like Eagle Games, Queen Games, Rio ",US
pub_9382,9382,Hutter Trade GmbH + Co KG,10,Bgm.-Landmann-Platz 1-5  89312 G&uuml;nzburg   Tel.: +49 (0) 8221/369636  Fax: +49 (0) 8221/369633  www.hutter-trade.com   Hutter is a trade company for a lot of small publishers.  Hutter publishes it,DE
pub_40841,40841,Land of Beautiful Mind (سرزمین ذهن زیبا),10,"Land of Beautiful Mind (abbreviated as LBMiND)  Name in Persian: Sarzamine Zehne Ziba  Active since 2010  Based in Iran, Tehran  Main Activity: Importing, Distributing and Producing Board Games and Ca",IR
pub_2456,2456,"The Game Crafter, LLC",10,"The Game Crafter, LLC  (TGC) is the world's first web-to-print game publisher with a print on demand game publishing system. Launched in July 2009, TGC allows game designer…",US
pub_131,131,Venice Connection,10,"Venice Connection was born in 1995, when  Alex Randolph ,  Leo Colovini , and  Dario De Toffoli  decided to found a little company to produce game…",IT
pub_137,137,Don & Co.,10,"Don &amp; Co was the one-man company run by Kris Burm with the sole goal of getting his Project GIPF published, and showing established publishers that there was more interest in abstract games than t",BE
pub_45931,45931,Zito! Ώρα για παιχνίδι,10,Discover series board games and enter in Zito!'s World!   ZITO!'s goal is to bring family and friends together and break the everyday life routine. ZITO publishes fun and educational board games for p,GR
pub_5407,5407,Asmadi Games,10,This page does not exist. You can edit this page to create it.,US
pub_42511,42511,Djama Games,10,"--EN--  Djama Games spawns from our passion for board games and the will to share them with other players. We choose the ones that we love the most, we work on them with care and we bring them to you.",FR
pub_46512,46512,IV Studio,10,"IV Studio  originally made its name in the world of animation, producing creative projects for well-known clients like Bad Robot and Nike.   Over time, the studio transitioned into the board game indu",US
pub_24881,24881,LudiCreations,10,LudiCreations    ( LudiCreations )   Finla…,GR
pub_27,27,"Eon Products, Inc. (Eon)",10,This page does not exist. You can edit this page to create it.,US
pub_39371,39371,Krealudik,10,"Krealudik es una Editorial Chilena de Juegos de mesa antiguos e hist&oacute;ricos, de diferentes culturas y &eacute;pocas.   Sus dise&ntilde;os creativos en madera y cuero, con t&eacute;cnicas como el",CL
pub_7,7,Warfrog Games,9,"Warfrog Games was  Martin Wallace 's now-defunct publishing company. The company's name was changed in 2010 to  Treefrog Games .      Microbadge    <img src=""https:/…",UK
pub_2407,2407,Gerhards Spiel und Design,9,Microbadge available:,DE
pub_193,193,Crisloid,9,This page does not exist. You can edit this page to create it.,US
pub_5020,5020,Ísöld ehf.,9,This page does not exist. You can edit this page to create it.,IS
pub_27151,27151,Palm Court,9,"Publisher of Monikers (2014), Wavelength (2019), and The Fuzzies (2020)",US
pub_23494,23494,Oficina do Aprendiz,9,"http://oficinadoaprendiz.com.br    Oficina do Aprendiz  Rodovia Sc - 405, 1120 - Fpolis - SC  (48) 3237-3429 | oficinadoaprendiz@gmail.com   Manufacturer of bo…",BR
pub_36504,36504,Boardcubator,9,Boardcubator is an independent platform for boardgame developers. Our main goal is to make it easier for game designers to make their dream projects happen. We don't want to become an independent publ,CZ
pub_24954,24954,Dourios,9,A former publishing company that does not exist anymore. Specialized in pocket games.   &Gamma;&nu;ώ&rho;&iota;&sigma;&alpha; &tau;&omicron;&nu; &Kappa;ύ&rho;&iota;&omicron; &Tau;ά&kappa;&eta; &tau;&u,GR
pub_233,233,Invicta Games,9,This page does not exist. You can edit this page to create it.,
pub_6818,6818,Corfix,9,This page does not exist. You can edit this page to create it.,BR
pub_12275,12275,Treefrog Games,9,&quot;Treefrog Games is now the name for the company that used to be called Warfrog Games. The name change also marks a change in direction. Designs will be reprinted depending on the level of demand.,UK
pub_116,116,Eurogames,9,"Eurogames is a publisher of board games, founded in 1984 as Jeux Rexton (Rexton Games) to publish the man-to-man miniature combat game, Cry Havoc and its expansions. In 1988 Duccio Vitale expanded the",FR
pub_27876,27876,Odd Bird Games,9,"Odd Bird endeavors to author fantastical, offbeat&mdash;sometimes odd&mdash;stories and help them take flight as tabletop games, card games, digital apps, novellas, comics, animated film, or any other",US
pub_4852,4852,Marvel Entertainment,9,This page does not exist. You can edit this page to create it.,US
pub_30685,30685,AVStudioGames,9,AVStudioGames is the studio that develops the games designed by   Alban Viard  . The logo has been created by Todd Sanders in 2015 and reflects the interest in cubes and complexe games with long and n,FR
pub_30,30,Berliner Spielkarten,9,This page does not exist. You can edit this page to create it.,DE
pub_7217,7217,Editions ATLAS,9,This page does not exist. You can edit this page to create it.,FR
pub_23296,23296,Passport Game Studios,8,"Passport Game Studios is a tabletop game publisher bringing you Tokaido, Quantum, Kingsport Festival, Trajan, Samurai Spirit, and other great games from around the world.",US
pub_46569,46569,Cardboard Alchemy,8,"Cardboard Alchemy, creators of the delightful dragon game Flamecraft, are focused on amazing tabletop experiences. Using the ingredients of engaging play and stellar production quality they unlock the",US
pub_35566,35566,The City of Games,8,"Welcome to The City of Games    The home of beautiful games with a puzzly heart    The City of Games was founded in 2016 by Frank West, a passionate gamer who wanted to bring the ideas in his head to ",UK
pub_11188,11188,Fame Products,8,"Fort Worth based manufacturer, importer and distributor of traditional board games and accessories.",US
pub_24874,24874,64 Ounce Games,8,A board game company with a sense of humor.   Our mission is to provide high quality strategy board games that are also blind accessible.,US
pub_3395,3395,Midgaard Games,8,This page does not exist. You can edit this page to create it.,NO
pub_52774,52774,Hearth & Hand with Magnolia,8,"Launched in November 2017, Hearth &amp; Hand with Magnolia is a Target-exclusive home and lifestyle brand designed in partnership with Chip and Joanna Gaines. Their board games feature a modern farmho",US
pub_254,254,University Games,8,"Founded in 1985,  University Games  has made over 200 games.   Acquisitions:   &bull; 2008 &mdash;  Sababa Toys, Inc.   &bull; October 2017 &mdash;  Paul Lam…",US
pub_8931,8931,MB Jeux,8,This page does not exist. You can edit this page to create it.,FR
pub_39898,39898,Naylor Games,8,"Naylor Games is a game publishing company based in Croydon, UK. &quot;Magnate: The First City&quot; is its first title.   Naylor Games purchased   East Street Games   in July 2022 and acquired all ass",UK
pub_6015,6015,Hurrican,8,Link to their webpage:  http://www.hurricangames.com/,FR
pub_49713,49713,Null Signal Games (NISEI),8,Null Signal Games (formerly known as NISEI) is a fan-run nonprofit volunteer collective. Our mission is to keep the game of Netrunner alive and thriving after the end of the official FFG era. We do th,US
pub_8760,8760,Melissa & Doug,8,"From their web site:   From puzzles to puppets, plush to play food, magnetic activities, music, wooden toys and more, Melissa &amp; Doug&reg; is one of the leading designers and manufacturers of educa",US
pub_50685,50685,HistoryGames.it,8,"HistoryGames.it is a producer of handmade ancient games, all built as faithfully as possible to their historical counterparts.",IT
pub_50269,50269,Salta da Caixa,7,Salta da Caixa is a dream come true from a family who is passionate about boardgames. We love to spend our free time among friends and family around the table playing boardgames. We believe in the con,BR
pub_42875,42875,Abraxas,7,The bird fights its way out of the egg. The egg is the world. Who would be born must first destroy a world. The bird flies to God. That God's name is Abraxas.   &mdash;&thinsp;Hermann Hesse's 1919 nov,
pub_54051,54051,4GAMES,7,"4GAMES is a board games publisher founded in 2023  A small team of like-minded people in love with board games!  We are focused primarily on family and children's games, but we do not disregard games ",
pub_33845,33845,Grand Gamers Guild,7,Independent publisher of card and board games. We aim for premium art and components and game play that will keep you coming back for more. We hope to offer a wide range of gaming experience to become,US
pub_18529,18529,NSKN Games,7,"NSKN Games , which launched in 2011 with  Warriors &amp; Traders , consists of a team of creative people who want to introduce interesting, entertaining, one-of-a-kind strategy board games to the worl",RO
pub_35302,35302,Brybelly,7,"Brybelly Holdings, Inc (Brybelly) was founded by Jeffrey Smith and Knute Lentz on January 1, 2005 as an internet retailer of gaming products selling across several e-commerce platforms and specialty w",US
pub_433,433,Skor-Mor,7,This page does not exist. You can edit this page to create it.,US
pub_7506,7506,Wood Expressions,7,"For nearly 50 years, Wood Expressions, Inc. has been dedicated to manufacturing, importing, and distributing high-quality games from around the world.  Chess is our specialty , and we offer an extensi",US
pub_29786,29786,Playagame Edizioni,7,…,IT
pub_454,454,Goliath Games,7,"Goliath Games is an international manufacturer and distributor of toys and games (among the brands we market are Rummikub, Triominos, Rolit, Wordsearch, Pop the Pig, Doggie Doo, Gooey Looey, Robofish,",NL
pub_13433,13433,Minion Games,7,"Note as of 2024:   Sadly,the man behind the games and company passed away unexpectedly a few years ago. His survivors resolved outstanding issues, closed the studio. He and his games are a sad loss fo",US
pub_9139,9139,Hall Games,7,"Publishing company for gamers.      Microbadge:     <img alt='Microbadge: H@ll Games' onmouseover=""return overlib('H@ll Games', WRAP );"" onmouseout=""return nd();"" title=''class='mbimg'loading=""lazy""sr",DE
pub_1758,1758,House Martin,7,This page does not exist. You can edit this page to create it.,UK
pub_900,900,Green Board Game Co.,7,THE GREEN BOARD GAME COMPANY (who own BrainBox) was set up in 1991 to invent games for people to play and learn together.   Why &lsquo;Green&rsquo; you may be asking? All those years ago we recognised,UK
pub_4539,4539,MB Giochi,7,This page does not exist. You can edit this page to create it.,IT
pub_38360,38360,Forbidden Games,7,"Forbidden Games, Inc.  is a publisher focused on creating high-quality gateway games. Forbidden was founded in late 2017 by two game industry veterans: Jason Kapalka (co-founder of PopCap Games, and d",US
pub_585,585,Surprised Stare Games Ltd,7,"We design and publish games that people want to play again and again; games that are colourful and rich in theme and detail; games that are innovative and, most importantly, fun!   Step inside our wor",UK
pub_31101,31101,Final Frontier Games,7,Board game publishing company from Skopja.,MK
pub_58083,58083,"Dice Throne, Inc.",7,"Our team's vision is to create balanced, innovative, beautiful Dice Throne heroes and new game modes far into the future. We pride ourselves on delivering an unparalleled level of quality and service.",US
pub_1425,1425,H. P. Gibson & Sons,7,"H. P. Gibson &amp; Sons Limited was formed in 1919.   See also    Gibsons    Gibson Game Company    From Dice Maestro Ltd - <a rel=""nofollow"" href=""http://www.dicemaestro.com…",UK
pub_1087,1087,Pin International,7,"Publisher of games made from environmentally friendly rubberwood.   Microbadge now available:  <img alt='Microbadge: Pin International fan' onmouseover=""return overlib('Pin International fan', WRAP );",TH
pub_7097,7097,"FRED Distribution, Inc.",6,"FRED Distribution, Inc.  is the parent (legal entity) game company for  Eagle-Gryphon Games .   For customer service questions or requests, email customer-service@eagle-gryphon.com.    <a class="""" hre",US
pub_24489,24489,Foxtrot Games,6,This page does not exist. You can edit this page to create it.,US
pub_50703,50703,Jianjie Star Games,6,We are Jianjie Star Trading Firm and a boardgame publishing house specializing in operating game licensing / distribution / reselling in Asia Market.   The company was established in 2016 in Fujian ，e,CN
pub_58538,58538,Board Bound,6,"We are Board Bound, yet a small company, but we are aimed at bringing best games to layers all around the world.",
pub_3096,3096,Argentum Verlag,6,Microbadge,DE
pub_92,92,3M,6,BGG Wiki Pages for 3M Game Lines        3M Bookshelf Games      3M Gamette series      3M Paper Games</…,US
pub_12135,12135,Longfield Games,6,"Longfield is a publisher of mainly public domain games (chess, backgammon, etc.), puzzles, and related articles.",NL
pub_16715,16715,Monkey Pod Games,6,"Monkey Pod Games have developed, designed and manufactured hundreds of brain-teaser models, educational puzzles and board games.   Monkey Pod Games is named after the Monkey Pod tree, which is the woo",TH
pub_28773,28773,Pretzel Games,6,Pretzel Games  aims to publish high-quality dexterity games that you can always play with a pretzel in hand. This studio plans to release two games per year starting at Gen Con 2015. These games will ,BE
pub_27221,27221,Coiledspring Games,6,"Coiledspring Games are suppliers of an exclusive range of games, jigsaws and puzzles.   Starting in 2004 with just one game - Triolet and one puzzle &ndash; Katamino (Both of which have stood the test",UK
pub_4570,4570,Crómola,6,This page does not exist. You can edit this page to create it.,ES
pub_5392,5392,Schmidt France,6,"A subsidiary of  Schmidt Spiele .      Microbadge    <img src=""https://cf.geekdo-static.com/images/microbadges/schmidtspiele.jpg"" alt=""http://files.boardgamegeek.com/images/microbadges/schmidtspiele.j",FR
pub_1629,1629,Histogame,6,"http://histogame.de       Microbadge    <img src=""https://cf.geekdo-static.com/images/microbadges/histogame.gif"" alt=""http://files.boardgamegeek.com/images/micro…",DE
pub_61847,61847,Amerous Games,6,"Amerous is a leading manufacturer of high-quality tabletop games, dedicated to delivering exceptional craftsmanship, innovative designs, and unparalleled customer service. Since our inception, we have",CN
pub_690,690,Berwick's Toy Co. Ltd.,6,This page does not exist. You can edit this page to create it.,UK
pub_247,247,Golden,6,This page does not exist. You can edit this page to create it.,US
pub_39453,39453,Side Room Games,6,"Founded in 2017, Side Room Games is focused on getting games from new designers out to the community. They focus on games that are print and play gems and making published versions to reach a broader ",US
pub_2188,2188,Pavilion,6,"Pavilion is not actually a publishing company but rather a trademark used by Geoffrey, inc., which is basically Toys R Us. They also sometimes use the phrase &quot;Pavilion Games&quot;. Additional inf",US
pub_29184,29184,Wolff Designa,6,"We are an indie game design and publishing studio. We are passionate about what we do and we aim to share with you the best gaming experience, that we possibly can. Played our game? Drop us a line! We",LV
pub_28847,28847,Formal Ferret Games,6,"Founded in 2014 by designer Gil Hova,  Formal Ferret Games  published tabletop games ranging from light party games to heavy economic Euros.   Formal Ferret Games closed in January 2023. All titles, b",US
pub_2924,2924,Papita,6,Papita is a B-brand of the Jumbo brand,NL
pub_2432,2432,Origem,6,This page does not exist. You can edit this page to create it.,BR
pub_2028,2028,Built-Rite,6,"Built-Rite ,  Warren Paper Products Co. ,  Warren Built Rite Games  and <a href=""/boardgamepublisher/2233/warren-industrie…",US
pub_1670,1670,Magnetic Poetry Inc,6,This page does not exist. You can edit this page to create it.,US
pub_11187,11187,Oriental Trading Company,6,"Publisher of assorted games and playing cards. Also manufacturer of childrens' toys and novelties, party supplies, educational supplies and craft supplies.",US
pub_40576,40576,Funtails,5,Funtails  is a publisher and developer of board games. The publishing division uses the many years of video game design experience of its employees to develop prototypes to the highest level and publi,DE
pub_1901,1901,Überplay,5,Uberplay ceased operations in 2008.    Jeremy Young  founded Uberplay at the beginning of 2003 and is Uberplay's President and CEO. Jeremy is responsible for setting the company's vision and strategy ,US
pub_54758,54758,Office Dog,5,Office Dog  is an Asmodee studio that debuted in 2024 with the publication of  Word Traveler .,FR
pub_549,549,Sleuth Publications,5,Out of business,US
pub_43740,43740,Board Game VN,5,"Starting with a small community of people who love board games,  Board Game VN  have grown to be the #1 company publishing, distributing, and localizing board and card games in Vietnam. Its mission: t",VN
pub_6262,6262,HEMA,5,This page does not exist. You can edit this page to create it.,NL
pub_291,291,"John N. Hansen Co., Inc.",5,This page does not exist. You can edit this page to create it.,US
pub_4668,4668,Schmidt International,5,"A subsidiary of  Schmidt Spiele .      Microbadge    <img src=""https://cf.geekdo-static.com/images/microbadges/schmidtspiele.jpg"" alt=""http://files.boardgamegeek.com/images/microbadges/schmidtspiele.j",DE
pub_8450,8450,Phalanx Games Deutschland,5,Microbadge,DE
pub_4622,4622,Selecta Spel en Hobby,5,This page does not exist. You can edit this page to create it.,NL
pub_8328,8328,Gemblo Company,5,"Microbadge:        - Gemblo, Inc. f…",KR
pub_73,73,Blatz,5,This page does not exist. You can edit this page to create it.,
pub_4718,4718,Challenge Master Game Co Ltd,5,"This publisher produced versions of classic games for distribution via retail stores. For example, games were sold via KB Toys, a general toy store found in shopping malls in the Northeast US.   Chall",US
pub_10964,10964,Excalibur Electronics,5,"Publisher of a variety of electronic versions of classic games. Games include Chess, Backgammon and card games in table-top and hand-held models. Also a producer of hand-held and television video game",US
pub_4955,4955,FridgePlay,5,"When chess players Marty Fox and Scott Stirling met at a party, they found themselves in the kitchen, next to the fridge (a common enough event). But it set them thinking about how, in today's fast-pa",UK
pub_4721,4721,Holdson,5,This page does not exist. You can edit this page to create it.,NZ
pub_36580,36580,Elf Creek Games,5,"Elf Creek Games was a board and card game publishing company based in Champaign-Urbana, Illinois. The company was founded by Brent Dickman and Michael Hinson.   Elf Creek Games believes in publishing ",US
pub_30088,30088,Super Impulse,5,"From publisher's website:   Super Impulse is committed to innovative toys, novelties, and accessories for kids and the young at heart. We offer licensed and non-licensed products designed to elicit sm",US
pub_562,562,Endless Games (I),5,"Founded by industry veterans Mike Gasser, Kevin McNulty and game inventor Brian Turtle, Endless Games specializes in games that offer classic entertainment and hours of fun at affordable prices.   The",US
pub_55,55,"U.S. Games Systems, Inc.",5,This page does not exist. You can edit this page to create it.,US
pub_17039,17039,MB Juegos,5,This page does not exist. You can edit this page to create it.,ES
pub_54347,54347,PlayPunk,5,"Antoine Bauza and Thomas Provoost, two veterans of the board game industry, decided to set up a new publishing company based on their solid experience and shared vision of the publishing profession.  ",FR
pub_920,920,Miro Company,5,reference:  http://www.reynolds-s-a.freeserve.co.uk/WG.HTM    Mostly a discussion of Waddington's but has these couple of sentences about Miro   &quot;Wadd…,FR
pub_29430,29430,BLAM !,5,"BLAM !  is the union of four curious and passionate players from savoyard Alps. At BLAM ! , we explore the board game world in order to discover the gems that deserve to join your game library.   We s",FR
pub_8911,8911,Q-Workshop,5,Microbadge,PL
pub_60759,60759,NorthStar Game Studio,5,"Board game publisher.      Admin Note:       Formerly known as  North Star Games, LLC .",US
pub_500,500,Pelikan,5,This page does not exist. You can edit this page to create it.,DE
pub_2547,2547,Masters Games,5,The objective of Masters Traditional Games is to make available the old games - and modern classics - that people have played for centuries and will continue to play as long as they are able to buy th,UK
pub_6514,6514,Adrenaline Brush Ltd,5,This page does not exist. You can edit this page to create it.,
pub_17151,17151,Grubbe Media GmbH,5,After being responsible for concepting and realising books and games for over 20 years for other publishers Grubbe Media started to work as a publisher itself in 2010.  In the field of gaming there ar,DE
